compound,target,confidence_score
Ginsenoside_Rb1,BDNF,0.82
Ginsenoside_Rb1,NGF,0.79
Ginsenoside_Rb1,AKT1,0.85
Ginsenoside_Rb1,BCL2,0.78
Ginsenoside_Rb1,BAX,0.74
Ginsenoside_Rb1,CASP3,0.82
Ginsenoside_Rb1,NFKB1,0.76
Ginsenoside_Rb1,TNF,0.73
Ginsenoside_Rb1,IL1B,0.69
Ginsenoside_Rb1,GSK3B,0.81
Ginsenoside_Rb1,MAPK1,0.75
Ginsenoside_Rb1,VEGFA,0.77
Ginsenoside_Rb1,SIRT1,0.71
Ginsenoside_Rb1,NOS3,0.74
Ginsenoside_Rb1,SOD1,0.72
Ginsenoside_Rb1,CREB1,0.68
Ginsenoside_Rb1,HIF1A,0.65
Ginsenoside_Rb1,GRIN2B,0.67
Ginsenoside_Rb1,IL6,0.63
Ginsenoside_Rb1,PTGS2,0.66
Astragaloside_IV,NOS3,0.79
Astragaloside_IV,VEGFA,0.76
Astragaloside_IV,HIF1A,0.73
Astragaloside_IV,SOD1,0.84
Astragaloside_IV,TGFB1,0.74
Astragaloside_IV,AKT1,0.77
Astragaloside_IV,NFKB1,0.78
Astragaloside_IV,PPARG,0.72
Astragaloside_IV,IL10,0.69
Astragaloside_IV,IL6,0.71
Astragaloside_IV,TNF,0.75
Astragaloside_IV,MMP9,0.68
Astragaloside_IV,SMAD3,0.72
Astragaloside_IV,COL1A1,0.77
Astragaloside_IV,HMOX1,0.75
Astragaloside_IV,NRF2,0.71
Astragaloside_IV,CAT,0.69
Astragaloside_IV,CASP3,0.65
Astragaloside_IV,BCL2,0.62
Astragaloside_IV,IL1B,0.68
Baicalein,PTGS2,0.91
Baicalein,ALOX5,0.95
Baicalein,IL6,0.85
Baicalein,TNF,0.83
Baicalein,MMP9,0.78
Baicalein,IL1B,0.82
Baicalein,NFKB1,0.88
Baicalein,CASP3,0.75
Baicalein,TP53,0.72
Baicalein,BAX,0.74
Baicalein,BCL2,0.69
Baicalein,CYP1A1,0.96
Baicalein,CYP3A4,0.92
Baicalein,ABCB1,0.83
Baicalein,STAT3,0.79
Baicalein,MAPK14,0.76
Baicalein,JUN,0.71
Baicalein,FOS,0.67
Baicalein,NRF2,0.73
Baicalein,HMOX1,0.68
Baicalein,HIF1A,0.65
Baicalein,VEGFA,0.67
Baicalein,AKT1,0.64
Quercetin,PTGS2,0.93
Quercetin,NOS2,0.89
Quercetin,NFKB1,0.87
Quercetin,TNF,0.85
Quercetin,IL6,0.83
Quercetin,IL1B,0.86
Quercetin,SOD1,0.81
Quercetin,CAT,0.78
Quercetin,GPX1,0.76
Quercetin,HMOX1,0.85
Quercetin,NRF2,0.91
Quercetin,CASP3,0.79
Quercetin,BCL2,0.71
Quercetin,BAX,0.75
Quercetin,TP53,0.77
Quercetin,AKT1,0.82
Quercetin,MAPK1,0.78
Quercetin,JUN,0.75
Quercetin,FOS,0.71
Quercetin,STAT3,0.79
Quercetin,VEGFA,0.84
Quercetin,HIF1A,0.79
Quercetin,CYP1A1,0.92
Quercetin,CYP3A4,0.87
Quercetin,ABCB1,0.83
Quercetin,SIRT1,0.85
Quercetin,PPARG,0.76
Quercetin,ESR1,0.69
Quercetin,TGFB1,0.74
Quercetin,MMP9,0.77
Quercetin,CCND1,0.72
Quercetin,GSK3B,0.68
Tanshinone_IIA,NFKB1,0.85
Tanshinone_IIA,TNF,0.81
Tanshinone_IIA,IL6,0.79
Tanshinone_IIA,IL1B,0.77
Tanshinone_IIA,CASP3,0.78
Tanshinone_IIA,BCL2,0.75
Tanshinone_IIA,BAX,0.77
Tanshinone_IIA,TP53,0.73
Tanshinone_IIA,AKT1,0.76
Tanshinone_IIA,MAPK1,0.72
Tanshinone_IIA,TGFB1,0.83
Tanshinone_IIA,MMP9,0.81
Tanshinone_IIA,SMAD3,0.79
Tanshinone_IIA,COL1A1,0.77
Tanshinone_IIA,VEGFA,0.74
Tanshinone_IIA,HIF1A,0.71
Tanshinone_IIA,NOS3,0.75
Tanshinone_IIA,SOD1,0.73
Tanshinone_IIA,HMOX1,0.69
Tanshinone_IIA,NRF2,0.71
Tanshinone_IIA,JUN,0.67
Tanshinone_IIA,FOS,0.65
Tanshinone_IIA,STAT3,0.78
Tanshinone_IIA,SERPINE1,0.72
Tanshinone_IIA,CTGF,0.75
Tanshinone_IIA,TIMP1,0.69
Tetrandrine,NFKB1,0.87
Tetrandrine,MMP9,0.83
Tetrandrine,TGFB1,0.91
Tetrandrine,COL1A1,0.85
Tetrandrine,SMAD3,0.81
Tetrandrine,SERPINE1,0.78
Tetrandrine,IL1B,0.79
Tetrandrine,IL6,0.76
Tetrandrine,TNF,0.81
Tetrandrine,CASP3,0.72
Tetrandrine,PTGS2,0.75
Tetrandrine,CTGF,0.87
Tetrandrine,TIMP1,0.79
Tetrandrine,FN1,0.81
Tetrandrine,ACTA2,0.83
Tetrandrine,PDGFB,0.79
Tetrandrine,AKT1,0.73
Tetrandrine,MAPK1,0.71
Tetrandrine,BCL2,0.68
Tetrandrine,BAX,0.67
Tetrandrine,TP53,0.65
Tetrandrine,SOD1,0.64
Tetrandrine,CAT,0.62
Tetrandrine,TLR4,0.77
Tetrandrine,MYD88,0.73
Tetrandrine,CXCL8,0.75
Emodin,PTGS2,0.81
Emodin,IL1B,0.79
Emodin,TNF,0.77
Emodin,CASP3,0.75
Emodin,TP53,0.73
Emodin,MMP9,0.69
Emodin,NFKB1,0.83
Emodin,BAX,0.77
Emodin,BCL2,0.71
Emodin,CYP1A1,0.85
Emodin,CYP3A4,0.81
Emodin,ABCB1,0.76
Emodin,HIF1A,0.73
Emodin,VEGFA,0.69
Emodin,AKT1,0.74
Emodin,MAPK1,0.68
Emodin,JUN,0.66
Emodin,FOS,0.64
Emodin,STAT3,0.76
Emodin,TGFB1,0.79
Emodin,SMAD3,0.75
Emodin,COL1A1,0.73
Emodin,IL6,0.72
Emodin,NRF2,0.67
Emodin,HMOX1,0.65
Emodin,SOD1,0.64
Emodin,CAT,0.62
Resveratrol,SIRT1,0.96
Resveratrol,AMPK,0.92
Resveratrol,NRF2,0.89
Resveratrol,NFKB1,0.87
Resveratrol,TNF,0.85
Resveratrol,IL6,0.83
Resveratrol,IL1B,0.81
Resveratrol,PTGS2,0.91
Resveratrol,HMOX1,0.86
Resveratrol,TP53,0.83
Resveratrol,AKT1,0.79
Resveratrol,MAPK1,0.77
Resveratrol,JUN,0.75
Resveratrol,FOS,0.72
Resveratrol,FOXO3,0.81
Resveratrol,CASP3,0.76
Resveratrol,BCL2,0.73
Resveratrol,BAX,0.78
Resveratrol,PPARG,0.82
Resveratrol,ESR1,0.85
Resveratrol,VEGFA,0.76
Resveratrol,HIF1A,0.73
Resveratrol,SOD1,0.82
Resveratrol,CAT,0.79
Resveratrol,GPX1,0.76
Resveratrol,GSK3B,0.72
Resveratrol,TGFB1,0.75
Resveratrol,MMP9,0.73
Resveratrol,CCND1,0.77
Resveratrol,CTNNB1,0.71
Resveratrol,APP,0.67
Resveratrol,MAPT,0.65
Resveratrol,BDNF,0.69
Resveratrol,NGF,0.67
Resveratrol,INSR,0.72
Resveratrol,SLC2A4,0.68
Salvianolic_acid_B,TGFB1,0.88
Salvianolic_acid_B,SMAD3,0.85
Salvianolic_acid_B,COL1A1,0.87
Salvianolic_acid_B,MMP9,0.83
Salvianolic_acid_B,NFKB1,0.81
Salvianolic_acid_B,TNF,0.79
Salvianolic_acid_B,IL6,0.77
Salvianolic_acid_B,IL1B,0.76
Salvianolic_acid_B,SERPINE1,0.84
Salvianolic_acid_B,CTGF,0.82
Salvianolic_acid_B,ACTA2,0.81
Salvianolic_acid_B,FN1,0.79
Salvianolic_acid_B,PDGFB,0.77
Salvianolic_acid_B,TIMP1,0.81
Salvianolic_acid_B,SOD1,0.78
Salvianolic_acid_B,CAT,0.75
Salvianolic_acid_B,HMOX1,0.81
Salvianolic_acid_B,NRF2,0.85
Salvianolic_acid_B,AKT1,0.73
Salvianolic_acid_B,MAPK1,0.69
Salvianolic_acid_B,CASP3,0.67
Salvianolic_acid_B,BCL2,0.65
Salvianolic_acid_B,VEGFA,0.72
Salvianolic_acid_B,HIF1A,0.68
Salvianolic_acid_B,NOS3,0.71
